Date of contribution,"Are you participating in the survey as an individual, a union or other worker organization, or an employer or employer organization?",Where do you live?,What is your gender? ,What is your current work situation? (Select all that apply),Are you a member of a union and covered by a collective agreement?,How important is keeping your benefits when you consider changing jobs? (Select all that apply),What should the hourly minimum wage be?
Jan 25 18 12:28:40 pm,Individual,New Brunswick,Male,Permanent,No,Very important,$14
Jan 25 18 12:31:05 pm,Individual,Ontario,Male,Permanent,Yes,Very important,$15
Jan 26 18 01:02:34 am,Individual,Ontario,Male,Permanent,Yes,Very important,More than $15
Jan 26 18 01:18:50 pm,Individual,Ontario,Male,Permanent,Yes,Very important,$15
Jan 26 18 01:31:56 pm,Individual,Ontario,Male,Permanent,Yes,Somewhat important,$15
Jan 26 18 01:32:27 pm,Individual,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 01:33:50 am,Individual,British Columbia,Male,Permanent,Yes,Very important,$14
Jan 26 18 01:34:51 pm,Individual,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 01:34:53 pm,Individual,Manitoba,Male,Permanent,Yes,Very important,$15
Jan 26 18 01:38:38 pm,Individual,Ontario,Female,Permanent,Yes,Very important,$15
Jan 26 18 01:42:20 pm,Individual,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 01:58:27 pm,Individual,British Columbia,Male,Permanent,No,Very important,More than $15
Jan 26 18 02:14:00 am,Individual,British Columbia,Female,Permanent,Yes,Very important,$14
Jan 26 18 02:36:03 pm,Individual,Ontario,Female,Permanent,Yes,Very important,$14
Jan 26 18 03:02:18 pm,Individual,Ontario,Male,Temporary/term or contract,Yes,Very important,$15
Jan 26 18 03:09:52 pm,Individual,Ontario,Female,Permanent,Yes,Very important,$15
Jan 26 18 03:24:39 pm,Individual,Quebec,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 03:26:54 pm,Individual,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 03:26:55 pm,Individual,British Columbia,Female,Permanent,Yes,Very important,$15
Jan 26 18 03:34:00 pm,Individual,Ontario,Male,Permanent,No,Very important,More than $15
Jan 26 18 03:36:02 pm,Individual,British Columbia,Female,Permanent,Yes,Very important,$15
Jan 26 18 03:40:15 pm,Individual,British Columbia,Male,Permanent,Yes,Very important,$15
Jan 26 18 03:47:02 pm,Individual,British Columbia,Female,Permanent,Yes,Very important,$15
Jan 26 18 04:02:58 pm,Individual,Ontario,Female,Permanent,Yes,Very important,Prefer not to answer
Jan 26 18 04:22:07 pm,Individual,Ontario,Male,Permanent,No,Very important,$13
Jan 26 18 04:23:38 pm,Individual,Ontario,Female,Permanent,No,Very important,$15
Jan 26 18 04:34:26 pm,Individual,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 04:35:15 pm,Individual,Ontario,Male,Permanent,No,Very important,More than $15
Jan 26 18 04:36:58 pm,Individual,Alberta,Female,Permanent,No,Very important,$12
Jan 26 18 04:37:39 pm,Individual,British Columbia,Female,Permanent,No,Very important,More than $15
Jan 26 18 04:37:44 pm,Individual,Ontario,Male,Permanent,No,Very important,$14
Jan 26 18 04:38:22 pm,Individual,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 04:38:40 pm,Individual,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 04:39:50 pm,Individual,Alberta,Male,Permanent,No,Very important,$15
Jan 26 18 04:40:09 pm,Individual,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 04:40:55 pm,Individual,British Columbia,Female,Permanent,No,Very important,$15
Jan 26 18 04:41:01 pm,Individual,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 04:41:18 pm,Individual,British Columbia,Female,Permanent,No,Very important,$14
Jan 26 18 04:41:21 pm,Individual,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 04:41:30 pm,Individual,Alberta,Male,Permanent,No,Very important,More than $15
Jan 26 18 04:43:30 pm,Individual,Alberta,Male,Permanent,No,Very important,More than $15
Jan 26 18 04:43:48 pm,Individual,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 04:43:59 pm,Individual,Alberta,Male,Permanent,No,Very important,More than $15
Jan 26 18 04:45:33 am,Individual,Ontario,Male,Permanent,Yes,Very important,More than $15
Jan 26 18 04:48:44 pm,Individual,Alberta,Male,Permanent,No,Somewhat important,$14
Jan 26 18 04:50:30 pm,Individual,Ontario,Female,Permanent,No,Very important,More than $15
Jan 26 18 04:50:35 pm,Individual,Alberta,Female,Permanent,No,Very important,$14
Jan 26 18 04:50:58 pm,Individual,Alberta,Male,Permanent,No,Very important,Prefer not to answer
Jan 26 18 04:52:53 pm,Individual,Alberta,Male,Permanent,No,Very important,$15
Jan 26 18 04:54:20 pm,Individual,Nova Scotia,Female,"Permanent, Self-employed without employees",No,Very important,$14
Jan 26 18 04:54:33 pm,Individual,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 04:56:01 pm,Individual,British Columbia,Female,Permanent,No,Somewhat important,Prefer not to answer
Jan 26 18 04:57:23 pm,Individual,Alberta,Male,Permanent,No,Very important,$15
Jan 26 18 04:57:24 pm,Individual,Alberta,Male,Permanent,No,Very important,$15
Jan 26 18 04:57:32 pm,Individual,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 04:57:51 pm,Individual,British Columbia,Male,Permanent,No,Very important,$14
Jan 26 18 04:59:32 pm,Individual,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 05:01:50 pm,Individual,Alberta,Female,"Permanent, Seasonal",No,Very important,More than $15
Jan 26 18 05:01:53 pm,Individual,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 05:03:27 pm,Individual,Ontario,Female,Permanent,Yes,Very important,$13
Jan 26 18 05:06:34 pm,Individual,Alberta,Female,Permanent,No,Very important,$11
Jan 26 18 05:07:43 pm,Individual,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 05:09:41 pm,Individual,Alberta,Female,Permanent,No,Very important,Prefer not to answer
Jan 26 18 05:10:51 pm,Individual,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 05:12:49 pm,Individual,Ontario,Female,Permanent,No,Very important,$15
Jan 26 18 05:16:54 pm,Individual,Alberta,Female,Permanent,No,Prefer not to answer,$14
Jan 26 18 05:17:53 pm,Individual,Alberta,Male,Permanent,No,Very important,More than $15
Jan 26 18 05:18:34 pm,Individual,Alberta,Male,Permanent,No,Very important,$15
Jan 26 18 05:18:44 pm,Individual,Alberta,Female,Permanent,No,Somewhat important,$14
Jan 26 18 05:19:02 pm,Individual,Alberta,Male,Permanent,No,Somewhat important,More than $15
Jan 26 18 05:19:57 pm,Individual,Ontario,Female,Permanent,No,Very important,$14
Jan 26 18 05:21:28 pm,Individual,Nova Scotia,Female,Permanent,No,Neutral,More than $15
Jan 26 18 05:24:15 pm,Individual,Alberta,Female,Permanent,No,Somewhat important,$12
Jan 26 18 05:24:38 pm,Individual,Alberta,Female,Permanent,No,Very important,Prefer not to answer
Jan 26 18 05:25:42 pm,Individual,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 05:27:34 pm,Individual,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 05:29:22 pm,Individual,Ontario,Female,Permanent,No,Very important,$15
Jan 26 18 05:29:29 pm,Individual,Ontario,Prefer not to answer,Permanent,No,Very important,$15
Jan 26 18 05:29:36 pm,Individual,Alberta,Male,Permanent,No,Very important,$15
Jan 26 18 05:29:48 pm,Individual,Ontario,Male,Permanent,No,Very important,$15
Jan 26 18 05:30:25 pm,Individual,Alberta,Male,Permanent,No,Very important,$11
Jan 26 18 05:31:49 pm,Individual,British Columbia,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 05:34:48 pm,Individual,Alberta,Male,Permanent,No,Very important,More than $15
Jan 26 18 05:37:17 pm,Individual,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 05:37:21 pm,Individual,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 05:39:44 pm,Individual,Alberta,Male,Permanent,No,Somewhat important,Prefer not to answer
Jan 26 18 05:40:38 pm,Individual,Manitoba,Male,Permanent,Yes,Somewhat important,More than $15
Jan 26 18 05:42:28 pm,Individual,Alberta,Female,Permanent,No,Somewhat important,$15
Jan 26 18 05:44:14 pm,Individual,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 05:44:17 pm,Individual,Newfoundland and Labrador,Male,Permanent,Yes,Very important,$12
Jan 26 18 05:45:29 pm,Individual,Alberta,Male,Permanent,No,Somewhat important,$15
Jan 26 18 05:45:42 pm,Individual,Alberta,Male,Permanent,No,Very important,$15
Jan 26 18 05:46:01 pm,Individual,British Columbia,Male,Permanent,No,Very important,More than $15
Jan 26 18 05:46:50 pm,Individual,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 05:50:04 pm,Individual,New Brunswick,Female,Permanent,No,Very important,More than $15
Jan 26 18 05:52:11 pm,Individual,Alberta,Female,Permanent,No,Somewhat important,$15
Jan 26 18 05:53:17 pm,Individual,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 05:53:21 pm,Individual,Prince Edward Island,Female,Permanent,No,Very important,$15
Jan 26 18 05:55:30 pm,Individual,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 05:55:39 pm,Individual,Ontario,Female,Permanent,No,Very important,More than $15
Jan 26 18 05:58:47 pm,Individual,British Columbia,Female,Permanent,No,Very important,$15
Jan 26 18 06:01:22 pm,Individual,Ontario,Male,Permanent,Yes,Very important,More than $15
Jan 26 18 06:01:35 pm,Individual,Alberta,Male,Permanent,No,Very important,$13
Jan 26 18 06:04:27 pm,Individual,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 06:05:01 pm,Individual,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 06:05:07 pm,Individual,Ontario,Female,Permanent,No,Very important,$15
Jan 26 18 06:09:47 pm,Individual,Alberta,Male,Permanent,No,Very important,$15
Jan 26 18 06:09:53 pm,Individual,New Brunswick,Male,Permanent,Prefer not to answer,Very important,$15
Jan 26 18 06:10:04 pm,Individual,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 06:10:17 pm,Individual,Alberta,Female,"Permanent, Working for multiple employers",No,Very important,$15
Jan 26 18 06:12:05 pm,Individual,New Brunswick,Female,Permanent,No,Very important,$15
Jan 26 18 06:12:56 pm,Individual,Ontario,Prefer not to answer,Permanent,No,Very important,More than $15
Jan 26 18 06:14:15 pm,Individual,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 06:14:21 pm,Individual,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 06:16:24 pm,Individual,Alberta,Male,Permanent,No,Somewhat important,Prefer not to answer
Jan 26 18 06:17:37 pm,Individual,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 06:18:47 pm,Individual,Alberta,Female,Permanent,No,Somewhat important,$15
Jan 26 18 06:21:17 pm,Individual,Alberta,Male,Permanent,No,Very important,$15
Jan 26 18 06:25:07 pm,Individual,Ontario,Female,Permanent,No,Very important,$15
Jan 26 18 06:27:56 pm,Individual,New Brunswick,Female,Permanent,No,Very important,$13
Jan 26 18 06:28:01 pm,Individual,Ontario,Male,Permanent,No,Somewhat important,$14
Jan 26 18 06:29:07 pm,Individual,Alberta,Female,Permanent,No,Somewhat important,Prefer not to answer
Jan 26 18 06:29:55 pm,Individual,Alberta,Male,Permanent,No,Very important,$15
Jan 26 18 06:31:10 pm,Individual,Alberta,Male,Permanent,No,Neutral,More than $15
Jan 26 18 06:32:09 pm,Individual,Alberta,Female,Permanent,No,Very important,$14
Jan 26 18 06:33:24 pm,Individual,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 06:36:48 pm,Individual,Ontario,Female,Permanent,Yes,Very important,$15
Jan 26 18 06:37:03 pm,Individual,Alberta,Male,Permanent,No,Very important,$15
Jan 26 18 06:38:46 pm,Individual,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 06:38:57 pm,Individual,Alberta,Male,Permanent,No,Very important,More than $15
Jan 26 18 06:40:40 pm,Individual,Alberta,Male,"Permanent, Casual",No,Very important,$15
Jan 26 18 06:43:01 pm,Individual,Manitoba,Female,Permanent,No,Very important,More than $15
Jan 26 18 06:43:42 pm,Individual,British Columbia,Male,Permanent,No,Somewhat important,More than $15
Jan 26 18 06:46:33 pm,Individual,British Columbia,Female,Permanent,No,Very important,$15
Jan 26 18 06:49:54 pm,Individual,British Columbia,Male,Permanent,No,Very important,$15
Jan 26 18 06:53:08 pm,Individual,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 06:53:32 pm,Individual,Alberta,Male,Permanent,No,Somewhat important,$15
Jan 26 18 06:55:37 pm,Individual,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 06:57:20 pm,Individual,Alberta,Female,"Permanent, Casual, Working for multiple employers",No,Very important,$14
Jan 26 18 06:58:44 pm,Individual,New Brunswick,Male,Permanent,No,Very important,More than $15
Jan 26 18 06:59:22 pm,Individual,Alberta,Male,Permanent,No,Very important,$15
Jan 26 18 07:00:09 pm,Individual,New Brunswick,Female,Permanent,No,Very important,$14
Jan 26 18 07:02:18 pm,Individual,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 07:08:30 pm,Individual,Alberta,Male,Permanent,No,Very important,Prefer not to answer
Jan 26 18 07:12:54 pm,Individual,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 07:13:07 pm,Individual,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 07:24:18 pm,Individual,Ontario,Male,Permanent,No,Very important,More than $15
Jan 26 18 07:26:15 pm,Individual,British Columbia,Male,Permanent,No,Somewhat important,$15
Jan 26 18 07:34:28 pm,Individual,British Columbia,Female,Permanent,No,Somewhat important,$15
Jan 26 18 07:35:32 pm,Individual,British Columbia,Male,Permanent,Yes,Very important,More than $15
Jan 26 18 07:38:17 pm,Individual,Ontario,Female,Permanent,Yes,Very important,$15
Jan 26 18 07:38:59 pm,Individual,Alberta,Female,Permanent,No,Somewhat important,$14
Jan 26 18 07:40:59 pm,Individual,Alberta,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 07:42:05 pm,Individual,Alberta,Prefer not to answer,Permanent,No,Very important,$13
Jan 26 18 07:44:36 am,Individual,Ontario,Male,Permanent,Yes,Neutral,$14
Jan 26 18 07:46:51 pm,Individual,Ontario,Male,Permanent,Yes,Very important,$15
Jan 26 18 07:49:20 pm,Individual,Quebec,Male,Permanent,Yes,Very important,$15
Jan 26 18 07:50:42 am,Individual,Ontario,Female,Permanent,Yes,Very important,$12
Jan 26 18 07:52:36 pm,Individual,Ontario,Male,Permanent,Yes,Very important,More than $15
Jan 26 18 07:53:15 pm,Individual,British Columbia,Male,Permanent,Yes,Very important,$15
Jan 26 18 07:57:13 pm,Individual,Alberta,Male,Permanent,No,Somewhat important,$15
Jan 26 18 08:03:35 pm,Individual,Quebec,Female,Permanent,,Very important,More than $15
Jan 26 18 08:04:20 pm,Individual,Ontario,Female,Permanent,Yes,Very important,Prefer not to answer
Jan 26 18 08:07:59 am,Individual,Ontario,Female,Permanent,Yes,Very important,$15
Jan 26 18 08:15:32 pm,Individual,Quebec,Female,Permanent,Yes,Somewhat important,$15
Jan 26 18 08:17:01 pm,Individual,British Columbia,Male,Permanent,Yes,Somewhat important,$15
Jan 26 18 08:19:37 pm,Individual,Alberta,Male,Permanent,No,Somewhat important,$15
Jan 26 18 08:22:47 pm,Individual,Quebec,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 08:26:56 pm,Individual,Ontario,Female,Permanent,No,Very important,More than $15
Jan 26 18 08:27:32 pm,Individual,Alberta,Male,Permanent,No,Very important,More than $15
Jan 26 18 08:32:32 pm,Individual,New Brunswick,Male,Permanent,Yes,Very important,Prefer not to answer
Jan 26 18 08:36:03 pm,Individual,Alberta,Female,Permanent,No,Somewhat important,$15
Jan 26 18 08:36:16 pm,Individual,Ontario,Female,Permanent,Yes,Very important,$15
Jan 26 18 08:42:27 pm,Individual,Alberta,Male,Permanent,No,Very important,$15
Jan 26 18 08:42:29 pm,Individual,Alberta,Female,Permanent,No,Not very important,$14
Jan 26 18 08:42:46 pm,Individual,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 08:43:38 pm,Individual,Ontario,Female,Permanent,No,Somewhat important,More than $15
Jan 26 18 08:51:57 pm,Individual,Alberta,Male,Permanent,No,Very important,Prefer not to answer
Jan 26 18 08:53:10 am,Individual,Ontario,Female,Permanent,No,Very important,More than $15
Jan 26 18 08:54:22 pm,Individual,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 08:57:54 pm,Individual,Manitoba,Male,Permanent,No,Very important,$14
Jan 26 18 09:00:22 pm,Individual,Alberta,Female,Permanent,No,Not very important,$15
Jan 26 18 09:02:00 pm,Individual,Alberta,Male,Permanent,No,Very important,More than $15
Jan 26 18 09:03:35 pm,Individual,Alberta,Male,Permanent,Yes,Somewhat important,More than $15
Jan 26 18 09:05:39 pm,Individual,Ontario,Female,Permanent,Yes,Somewhat important,$15
Jan 26 18 09:06:40 pm,Individual,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 09:12:32 pm,Individual,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 09:15:41 pm,Individual,New Brunswick,Male,Permanent,Yes,Somewhat important,Prefer not to answer
Jan 26 18 09:22:35 pm,Individual,Ontario,Male,Permanent,No,Somewhat important,$15
Jan 26 18 09:24:16 pm,Individual,Alberta,Male,Permanent,Yes,Somewhat important,$12
Jan 26 18 09:24:25 pm,Individual,Ontario,Male,Permanent,No,Somewhat important,$15
Jan 26 18 09:29:11 pm,Individual,Ontario,Male,Permanent,Yes,Very important,More than $15
Jan 26 18 09:33:21 pm,Individual,Alberta,Female,Permanent,No,Somewhat important,More than $15
Jan 26 18 09:33:42 pm,Individual,British Columbia,Female,Permanent,Yes,Very important,$15
Jan 26 18 09:39:02 am,Individual,Ontario,Male,Permanent,Yes,Very important,$15
Jan 26 18 09:39:23 pm,Individual,Ontario,Female,Permanent,Yes,Somewhat important,More than $15
Jan 26 18 09:41:20 pm,Individual,Alberta,Female,Permanent,No,Very important,$14
Jan 26 18 09:41:22 pm,Individual,Alberta,Female,"Permanent, Self-employed without employees",No,Very important,$15
Jan 26 18 09:41:32 pm,Individual,Alberta,Male,Permanent,No,Very important,More than $15
Jan 26 18 09:42:08 pm,Individual,Ontario,Female,Permanent,Yes,Very important,Prefer not to answer
Jan 26 18 09:49:40 am,Individual,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 09:52:22 pm,Individual,Alberta,Male,Working for multiple employers,Yes,Very important,More than $15
Jan 26 18 09:52:42 pm,Individual,Alberta,Female,Permanent,No,Very important,Prefer not to answer
Jan 26 18 09:55:16 pm,Individual,Ontario,Male,Permanent,Yes,Very important,More than $15
Jan 26 18 09:55:32 pm,Individual,Nova Scotia,Male,Permanent,Yes,Very important,$15
Jan 26 18 10:05:24 pm,Individual,Ontario,Male,Permanent,Yes,Very important,$15
Jan 26 18 10:06:47 pm,Individual,Ontario,Female,Permanent,Yes,Very important,$15
Jan 26 18 10:11:41 pm,Individual,Quebec,Female,Permanent,Yes,Very important,$15
Jan 26 18 10:15:12 pm,Individual,Quebec,Female,Permanent,No,Very important,$13
Jan 26 18 10:16:35 pm,Individual,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 10:25:12 pm,Individual,New Brunswick,Male,Temporary/term or contract,No,Somewhat important,$15
Jan 26 18 10:29:34 pm,Individual,Alberta,Male,Permanent,Yes,Very important,More than $15
Jan 26 18 10:31:12 pm,Individual,Alberta,Male,Permanent,No,Very important,$15
Jan 26 18 10:33:31 pm,Individual,Ontario,Male,Permanent,No,Prefer not to answer,Prefer not to answer
Jan 26 18 10:42:38 pm,Individual,Alberta,Male,Permanent,No,Very important,Prefer not to answer
Jan 26 18 10:45:52 pm,Individual,Ontario,Female,Permanent,Yes,Very important,$15
Jan 26 18 10:47:31 am,Individual,Nova Scotia,Male,Prefer not to answer,Yes,Very important,$15
Jan 26 18 10:58:18 pm,Individual,Ontario,Female,Permanent,No,Very important,$13
Jan 26 18 10:58:50 pm,Individual,Ontario,Female,Permanent,No,Very important,$15
Jan 26 18 10:59:17 pm,Individual,Ontario,Male,Permanent,No,Very important,More than $15
Jan 26 18 11:01:06 am,Individual,Nova Scotia,Female,Permanent,Yes,Very important,$15
Jan 26 18 11:06:09 pm,Individual,Ontario,Female,Permanent,Yes,Prefer not to answer,Prefer not to answer
Jan 26 18 11:08:19 am,Individual,Quebec,Female,Permanent,Yes,Very important,$12
Jan 26 18 11:08:35 pm,Individual,New Brunswick,Male,Permanent,Yes,Very important,$13
Jan 26 18 11:11:43 pm,Individual,Manitoba,Female,Permanent,No,Very important,$14
Jan 26 18 11:15:35 pm,Individual,Alberta,Male,Permanent,No,Somewhat important,$15
Jan 26 18 11:18:29 pm,Individual,Ontario,Male,Permanent,No,Very important,$14
Jan 26 18 11:27:49 pm,Individual,Alberta,Female,Permanent,Yes,Somewhat important,$15
Jan 26 18 11:36:13 pm,Individual,Quebec,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 11:41:15 am,Individual,Quebec,Male,Permanent,Yes,Prefer not to answer,$15
Jan 26 18 11:42:29 pm,Individual,Ontario,Male,Permanent,Yes,Very important,$14
Jan 26 18 11:58:42 am,Individual,Nova Scotia,Male,Permanent,No,Very important,$12
Jan 26 18 12:10:43 pm,Individual,Quebec,Female,Permanent,Yes,Very important,$15
Jan 26 18 12:10:53 am,Individual,British Columbia,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 12:11:09 am,Individual,British Columbia,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 12:12:50 pm,Individual,Nova Scotia,Male,Permanent,No,Very important,$15
Jan 26 18 12:13:24 am,Individual,British Columbia,Female,Permanent,Yes,Very important,$15
Jan 26 18 12:16:56 pm,Individual,Ontario,Male,Permanent,Yes,Somewhat important,$15
Jan 26 18 12:20:03 am,Individual,British Columbia,Prefer not to answer,Permanent,Yes,Very important,$15
Jan 26 18 12:21:48 pm,Individual,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 12:26:02 pm,Individual,Ontario,Female,"Permanent, Working for multiple employers",Yes,Very important,More than $15
Jan 26 18 12:35:31 am,Individual,British Columbia,Female,Permanent,Yes,Very important,$15
Jan 26 18 12:49:01 pm,Individual,Alberta,Female,Permanent,Yes,Prefer not to answer,More than $15
Jan 27 18 01:03:34 pm,Individual,Ontario,Male,Permanent,No,Very important,$15
Jan 27 18 01:05:06 am,Individual,Alberta,Female,Permanent,No,Somewhat important,$15
Jan 27 18 01:05:24 am,Individual,Ontario,Male,Permanent,No,Somewhat important,Prefer not to answer
Jan 27 18 01:12:43 pm,Individual,Nova Scotia,Male,Permanent,No,Very important,$14
Jan 27 18 01:20:20 pm,Individual,Manitoba,Male,Working for multiple employers,Yes,Very important,$12
Jan 27 18 01:21:09 pm,Individual,Alberta,Female,Permanent,No,Very important,$14
Jan 27 18 01:21:14 pm,Individual,Quebec,Female,Permanent,Yes,Very important,Prefer not to answer
Jan 27 18 01:22:50 am,Individual,British Columbia,Female,Permanent,Yes,Very important,$15
Jan 27 18 01:23:32 pm,Individual,Alberta,Female,Permanent,No,Very important,Prefer not to answer
Jan 27 18 01:23:46 pm,Individual,Ontario,Female,Permanent,No,Very important,More than $15
Jan 27 18 01:28:46 pm,Individual,Ontario,Female,Permanent,No,Very important,More than $15
Jan 27 18 01:37:21 pm,Individual,Alberta,Male,Permanent,No,Very important,More than $15
Jan 27 18 01:40:33 am,Individual,Alberta,Female,Permanent,No,Very important,$15
Jan 27 18 01:44:02 am,Individual,Quebec,Female,"Permanent, Working for multiple employers",Yes,Very important,$14
Jan 27 18 01:49:00 pm,Individual,Ontario,Male,Permanent,Yes,Very important,More than $15
Jan 27 18 01:56:28 pm,Individual,Ontario,Male,Permanent,Yes,Very important,$15
Jan 27 18 01:59:34 am,Individual,Alberta,Female,Permanent,No,Very important,Prefer not to answer
Jan 27 18 02:02:28 am,Individual,British Columbia,Female,Permanent,No,Very important,$15
Jan 27 18 02:03:20 pm,Individual,Ontario,Female,Permanent,Yes,Neutral,More than $15
Jan 27 18 02:05:55 pm,Individual,British Columbia,Male,Permanent,Yes,Very important,$14
Jan 27 18 02:06:10 pm,Individual,Alberta,Female,Permanent,No,Very important,More than $15
Jan 27 18 02:23:27 pm,Individual,British Columbia,Female,Permanent,No,Somewhat important,$15
Jan 27 18 02:24:44 pm,Individual,Ontario,Female,Permanent,Yes,Very important,$15
Jan 27 18 02:27:18 pm,Individual,Ontario,Female,Permanent,Yes,Neutral,More than $15
Jan 27 18 02:32:45 pm,Individual,Alberta,Male,Permanent,No,Very important,$14
Jan 27 18 02:33:58 am,Individual,Quebec,Female,Permanent,Yes,Very important,$15
Jan 27 18 02:44:55 pm,Individual,Nova Scotia,Male,Permanent,Yes,Very important,$15
Jan 27 18 02:46:34 am,Individual,Alberta,Female,Permanent,No,Somewhat important,More than $15
Jan 27 18 02:55:02 pm,Individual,Quebec,Male,Permanent,Yes,Very important,$15
Jan 27 18 02:56:42 am,Individual,Alberta,Female,Permanent,No,Very important,More than $15
Jan 27 18 03:03:21 pm,Individual,Alberta,Female,Permanent,No,Very important,$15
Jan 27 18 03:27:29 pm,Individual,Alberta,Male,Permanent,No,Very important,$11
Jan 27 18 03:40:46 am,Individual,Alberta,Male,Working for multiple employers,No,Somewhat important,$15
Jan 27 18 03:43:11 am,Individual,Alberta,Male,Permanent,No,Very important,$15
Jan 27 18 03:52:30 pm,Individual,Ontario,Male,Permanent,Yes,Very important,More than $15
Jan 27 18 04:05:14 pm,Individual,Ontario,Female,Permanent,Yes,Very important,$13
Jan 27 18 04:16:49 pm,Individual,British Columbia,Female,Permanent,No,Very important,$15
Jan 27 18 04:35:33 am,Individual,Alberta,Male,Permanent,No,Somewhat important,More than $15
Jan 27 18 05:11:16 am,Individual,Ontario,Female,Permanent,Yes,Very important,Prefer not to answer
Jan 27 18 05:14:21 pm,Individual,Quebec,Female,Permanent,Yes,Somewhat important,$13
Jan 27 18 05:16:39 pm,Individual,New Brunswick,Female,Permanent,No,Somewhat important,$15
Jan 27 18 05:35:33 pm,Individual,Alberta,Female,Permanent,No,Very important,$13
Jan 27 18 05:36:04 pm,Individual,Alberta,Male,Permanent,No,Very important,More than $15
Jan 27 18 05:46:55 pm,Individual,British Columbia,Female,Permanent,Yes,Very important,$15
Jan 27 18 05:55:50 am,Individual,Newfoundland and Labrador,Male,"Permanent, Casual",Yes,Somewhat important,$13
Jan 27 18 05:58:24 pm,Individual,British Columbia,Female,Permanent,Yes,Very important,$15
Jan 27 18 06:00:00 pm,Individual,Alberta,Female,Permanent,No,Very important,More than $15
Jan 27 18 06:15:32 pm,Individual,British Columbia,Female,Permanent,Yes,Very important,More than $15
Jan 27 18 06:21:48 pm,Individual,Nova Scotia,Female,Permanent,Yes,Very important,$12
Jan 27 18 06:33:26 pm,Individual,Nova Scotia,Female,Permanent,No,Somewhat important,More than $15
Jan 27 18 06:39:44 pm,Individual,Quebec,Female,Permanent,Yes,Very important,$15
Jan 27 18 06:42:05 pm,Individual,Alberta,Male,Permanent,No,Very important,More than $15
Jan 27 18 07:10:25 pm,Individual,Ontario,Male,Permanent,Yes,Very important,$15
Jan 27 18 07:13:56 pm,Individual,Ontario,Male,Permanent,Yes,Somewhat important,$15
Jan 27 18 07:44:48 am,Individual,Nova Scotia,Prefer not to answer,Permanent,No,Very important,$14
Jan 27 18 07:45:09 pm,Individual,New Brunswick,Male,Permanent,No,Very important,More than $15
